dttm,value
2017-10-06 14:33:40,254
2017-10-06 14:34:10,254
2017-10-06 14:34:40,254
2017-10-06 14:35:10,254
2017-10-06 14:35:40,254
2017-10-06 14:36:10,254
2017-10-06 14:36:40,253
2017-10-06 14:37:10,253
2017-10-06 14:37:40,254
2017-10-06 14:38:10,258
2017-10-06 14:38:40,257
2017-10-06 14:39:11,254
2017-10-06 14:39:41,254
2017-10-06 14:40:11,254
2017-10-06 14:40:41,254
2017-10-06 14:41:11,254
2017-10-06 14:41:41,254
2017-10-06 14:42:11,254
2017-10-06 14:42:41,253
2017-10-06 14:43:11,253
2017-10-06 14:43:41,253
2017-10-06 14:44:11,253
2017-10-06 14:44:41,254
2017-10-06 14:45:11,255
2017-10-06 14:45:41,254
2017-10-06 14:46:11,254
2017-10-06 14:46:41,254
2017-10-06 14:47:11,254
2017-10-06 14:47:41,254
2017-10-06 14:48:11,254
2017-10-06 14:48:41,254
2017-10-06 14:49:11,254
2017-10-06 14:49:42,253
2017-10-06 14:50:12,254
2017-10-06 14:50:42,254
2017-10-06 14:51:12,254
2017-10-06 14:51:42,254
2017-10-06 14:52:12,254
2017-10-06 14:52:42,254
2017-10-06 14:53:12,260
2017-10-06 14:53:42,257
2017-10-06 14:54:12,259
2017-10-06 14:54:42,257
2017-10-06 14:55:12,255
2017-10-06 14:55:42,255
2017-10-06 14:56:12,256
2017-10-06 14:56:42,256
2017-10-06 14:57:12,256
2017-10-06 14:57:42,258
2017-10-06 14:58:12,256
2017-10-06 14:58:42,260
2017-10-06 14:59:12,256
2017-10-06 14:59:42,255
2017-10-06 15:00:13,257
2017-10-06 15:00:43,256
2017-10-06 15:01:13,255
2017-10-06 15:01:43,256
2017-10-06 15:02:13,257
2017-10-06 15:02:43,257
2017-10-06 15:03:13,257
2017-10-06 15:03:43,257
2017-10-06 15:04:13,257
2017-10-06 15:04:43,257
2017-10-06 15:05:13,257
2017-10-06 15:05:43,257
2017-10-06 15:06:13,257
2017-10-06 15:06:43,255
2017-10-06 15:07:13,257
2017-10-06 15:07:43,258
2017-10-06 15:08:13,259
2017-10-06 15:08:43,256
2017-10-06 15:09:13,255
2017-10-06 15:09:43,256
2017-10-06 15:10:14,256
2017-10-06 15:10:44,255
2017-10-06 15:11:14,255
2017-10-06 15:11:44,255
2017-10-06 15:12:14,255
2017-10-06 15:12:44,254
2017-10-06 15:13:14,253
2017-10-06 15:13:44,253
2017-10-06 15:14:14,254
2017-10-06 15:14:44,253
2017-10-06 15:15:14,253
2017-10-06 15:15:44,253
2017-10-06 15:16:14,253
2017-10-06 15:16:44,253
2017-10-06 15:17:14,253
2017-10-06 15:17:44,253
2017-10-06 15:18:14,253
2017-10-06 15:18:44,253
2017-10-06 15:19:14,253
2017-10-06 15:19:44,254
2017-10-06 15:20:14,254
2017-10-06 15:20:45,255
2017-10-06 15:21:15,254
2017-10-06 15:21:45,254
2017-10-06 15:22:15,254
2017-10-06 15:22:45,260
2017-10-06 15:23:15,257
2017-10-06 15:23:45,254
2017-10-06 15:24:15,254
2017-10-06 15:24:45,254
2017-10-06 15:25:15,254
2017-10-06 15:25:45,254
2017-10-06 15:26:15,254
2017-10-06 15:26:45,254
2017-10-06 15:27:15,254
2017-10-06 15:27:45,255
2017-10-06 15:28:15,253
2017-10-06 15:28:45,253
2017-10-06 15:29:15,254
2017-10-06 15:29:45,253
2017-10-06 15:30:15,253
2017-10-06 15:30:46,253
2017-10-06 15:31:16,253
2017-10-06 15:31:46,253
2017-10-06 15:32:16,253
2017-10-06 15:32:46,253
2017-10-06 15:33:16,254
2017-10-06 15:33:46,254
2017-10-06 15:34:16,254
2017-10-06 15:34:46,254
2017-10-06 15:35:16,254
2017-10-06 15:35:46,254
2017-10-06 15:36:16,254
2017-10-06 15:36:46,254
2017-10-06 15:37:16,255
2017-10-06 15:37:46,257
2017-10-06 15:38:16,256
2017-10-06 15:38:46,253
2017-10-06 15:39:16,254
2017-10-06 15:39:46,254
2017-10-06 15:40:16,255
2017-10-06 15:40:47,254
2017-10-06 15:41:17,254
2017-10-06 15:41:47,254
2017-10-06 15:42:17,254
2017-10-06 15:42:47,254
2017-10-06 15:43:17,254
2017-10-06 15:43:47,254
2017-10-06 15:44:17,253
2017-10-06 15:44:47,253
2017-10-06 15:45:17,254
2017-10-06 15:45:47,254
2017-10-06 15:46:17,254
2017-10-06 15:46:47,254
2017-10-06 15:47:17,254
2017-10-06 15:47:47,254
2017-10-06 15:48:17,254
2017-10-06 15:48:47,254
2017-10-06 15:49:17,254
2017-10-06 15:49:47,254
2017-10-06 15:50:17,253
2017-10-06 15:50:48,253
2017-10-06 15:51:18,254
2017-10-06 15:51:48,259
2017-10-06 15:52:18,254
